datetime,open,high,low,close,volume
2015-10-14 01:00:00.000000,551.34,552.25,539.68,544.83,3582060
2015-10-15 01:00:00.000000,547.75,563.0,547.0,562.44,4937034
2015-10-16 01:00:00.000000,565.27,570.94,560.31,570.76,4315792
2015-10-19 01:00:00.000000,570.76,579.0,567.38,573.15,4375420
2015-10-20 01:00:00.000000,572.0,573.0,555.28,560.88,4346209
2015-10-21 01:00:00.000000,563.87,565.25,552.52,555.77,3361655
2015-10-22 01:00:00.000000,562.7,569.146,556.67,563.91,7779372
2015-10-23 01:00:00.000000,617.68,619.45,595.36,599.03,10692667
2015-10-26 01:00:00.000000,602.3,609.85,596.29,608.61,4269715
2015-10-27 01:00:00.000000,608.6,614.71,605.53,611.01,3787136
2015-10-28 01:00:00.000000,612.3,617.23,609.5,617.1,3926200
2015-10-29 01:00:00.000000,617.7,627.54,615.39,626.55,3896026
2015-10-30 01:00:00.000000,626.01,630.72,625.28,625.9,3874363
2015-11-02 01:00:00.000000,627.13,628.63,620.41,628.35,2816479
2015-11-03 01:00:00.000000,629.53,629.89,622.0,625.31,3246910
2015-11-04 01:00:00.000000,627.76,645.93,627.35,640.95,4840501
2015-11-05 01:00:00.000000,647.1,657.0,643.0901,655.65,4723825
2015-11-06 01:00:00.000000,655.0,662.26,652.0,659.37,4092165
2015-11-09 01:00:00.000000,658.65,661.955,647.8477,655.49,4048823
2015-11-10 01:00:00.000000,651.01,660.0,647.262,659.68,3489483
2015-11-11 01:00:00.000000,663.25,675.96,663.25,673.25,5387309
2015-11-12 01:00:00.000000,673.0,675.64,664.22,665.6,4284678
2015-11-13 01:00:00.000000,663.57,667.0,640.45,642.35,6261076
2015-11-16 01:00:00.000000,640.92,649.99,622.29,647.81,7435934
2015-11-17 01:00:00.000000,650.65,653.25,641.0,643.3,4320177
2015-11-18 01:00:00.000000,646.51,664.88,646.37,663.54,4469769
2015-11-19 01:00:00.000000,664.99,672.86,659.0,661.27,4705237
